,날짜,상대팀,결과
0,03.27(토),LG,lose
1,03.28(일),LG,win
2,03.30(화),KIA,win
3,03.31(수),KIA,lose
4,03.27(토),LG,lose
5,03.28(일),LG,win
6,03.30(화),KIA,win
7,03.31(수),KIA,lose
8,04.01(목),KIA,-
9,04.02(금),한화,win
10,04.03(토),한화,lose
11,04.04(일),한화,win
12,04.06(화),넥센,win
13,04.07(수),넥센,win
14,04.08(목),넥센,win
15,04.09(금),KIA,win
16,04.10(토),KIA,win
17,04.11(일),KIA,lose
18,04.13(화),LG,win
19,04.14(수),LG,lose
20,04.15(목),LG,lose
21,04.16(금),SK,lose
22,04.17(토),SK,lose
23,04.18(일),SK,lose
24,04.20(화),한화,win
25,04.21(수),한화,win
26,04.22(목),한화,lose
27,04.23(금),두산,win
28,04.24(토),두산,lose
29,04.25(일),두산,lose
30,04.27(화),LG,-
31,04.28(수),LG,-
32,04.29(목),LG,win
33,04.30(금),한화,win
34,05.01(토),한화,win
35,05.02(일),한화,win
36,05.04(화),롯데,lose
37,05.05(수),롯데,win
38,05.06(목),롯데,lose
39,05.07(금),SK,win
40,05.08(토),SK,lose
41,05.09(일),SK,win
42,05.11(화),두산,win
43,05.12(수),두산,lose
44,05.13(목),두산,lose
45,05.14(금),넥센,lose
46,05.15(토),넥센,win
47,05.16(일),넥센,lose
48,05.18(화),LG,-
49,05.19(수),LG,lose
50,05.20(목),LG,lose
51,05.21(금),롯데,win
52,05.22(토),롯데,-
53,05.23(일),롯데,-
54,05.25(화),SK,win
55,05.26(수),SK,win
56,05.27(목),SK,win
57,05.28(금),두산,lose
58,05.29(토),두산,win
59,05.30(일),두산,win
60,06.01(화),KIA,win
61,06.02(수),KIA,lose
62,06.03(목),KIA,lose
63,06.04(금),롯데,lose
64,06.05(토),롯데,lose
65,06.06(일),롯데,lose
66,06.08(화),SK,lose
67,06.09(수),SK,win
68,06.10(목),SK,lose
69,06.11(금),넥센,lose
70,06.12(토),넥센,win
71,06.13(일),넥센,lose
72,06.15(화),롯데,win
73,06.16(수),롯데,win
74,06.17(목),롯데,draw
75,06.18(금),한화,lose
76,06.19(토),한화,lose
77,06.20(일),한화,win
78,06.22(화),두산,lose
79,06.23(수),두산,win
80,06.24(목),두산,win
81,06.25(금),넥센,win
82,06.26(토),넥센,win
83,06.27(일),넥센,win
84,06.29(화),롯데,win
85,06.30(수),롯데,win
86,07.01(목),롯데,win
87,07.02(금),KIA,-
88,07.03(토),KIA,win
89,07.04(일),KIA,win
90,07.06(화),SK,win
91,07.07(수),SK,win
92,07.08(목),SK,lose
93,07.09(금),넥센,win
94,07.10(토),넥센,win
95,07.11(일),넥센,win
96,07.13(화),두산,win
97,07.14(수),두산,lose
98,07.15(목),두산,win
99,07.16(금),LG,-
100,07.17(토),LG,win
101,07.18(일),LG,win
102,07.20(화),KIA,win
103,07.21(수),KIA,lose
104,07.22(목),KIA,win
105,07.27(화),한화,-
106,07.28(수),한화,win
107,07.29(목),한화,win
108,07.30(금),넥센,win
109,07.31(토),넥센,win
110,08.01(일),넥센,lose
111,08.03(화),SK,lose
112,08.04(수),SK,win
113,08.05(목),SK,lose
114,08.06(금),LG,lose
115,08.07(토),LG,win
116,08.08(일),LG,win
117,08.10(화),롯데,-
118,08.11(수),롯데,lose
119,08.12(목),롯데,win
120,08.13(금),한화,win
121,08.14(토),한화,win
122,08.15(일),한화,win
123,08.17(화),두산,win
124,08.18(수),두산,lose
125,08.19(목),두산,lose
126,08.20(금),KIA,win
127,08.21(토),KIA,win
128,08.22(일),KIA,win
129,08.26(목),두산,win
130,08.27(금),LG,-
131,08.28(토),LG,win
132,08.29(일),LG,-
133,08.31(화),KIA,lose
134,09.01(수),넥센,lose
135,09.02(목),한화,win
136,09.03(금),한화,win
137,09.04(토),롯데,lose
138,09.05(일),롯데,win
139,09.08(수),롯데,lose
140,09.10(금),LG,win
141,09.11(토),LG,-
142,09.12(일),LG,lose
143,09.16(목),KIA,win
144,09.17(금),KIA,lose
145,09.19(일),SK,lose
146,09.21(화),LG,win
147,09.24(금),롯데,lose
148,09.25(토),LG,draw
149,09.26(일),LG,win
