,상대팀,결과
0,한화,win
1,한화,win
2,롯데,lose
3,롯데,win
4,SK,win
5,SK,win
6,SK,lose
7,LG,win
8,LG,win
9,LG,win
10,두산,lose
11,두산,lose
12,두산,win
13,SK,lose
14,SK,win
15,SK,lose
16,롯데,win
17,롯데,lose
18,롯데,win
19,현대,lose
20,현대,lose
21,현대,win
22,한화,win
23,한화,win
24,롯데,lose
25,롯데,win
26,SK,win
27,SK,win
28,SK,lose
29,LG,win
30,LG,win
31,LG,win
32,두산,lose
33,두산,lose
34,두산,win
35,SK,lose
36,SK,win
37,SK,lose
38,롯데,win
39,롯데,lose
40,롯데,win
41,현대,lose
42,현대,lose
43,현대,win
44,두산,win
45,두산,win
46,두산,lose
47,현대,lose
48,현대,win
49,현대,win
50,KIA,lose
51,KIA,lose
52,KIA,lose
53,LG,win
54,LG,win
55,LG,win
56,롯데,win
57,롯데,win
58,롯데,lose
59,한화,win
60,한화,win
61,한화,lose
62,현대,lose
63,현대,lose
64,현대,win
65,KIA,win
66,KIA,win
67,KIA,win
68,두산,lose
69,두산,lose
70,두산,win
71,롯데,win
72,롯데,win
73,롯데,lose
74,두산,win
75,두산,win
76,두산,win
77,SK,win
78,SK,win
79,SK,win
80,LG,win
81,LG,win
82,KIA,win
83,KIA,win
84,KIA,lose
85,한화,lose
86,한화,win
87,한화,lose
88,현대,win
89,현대,win
90,현대,lose
91,한화,win
92,한화,win
93,한화,win
94,LG,lose
95,LG,win
96,LG,lose
97,KIA,win
98,KIA,lose
99,현대,lose
100,현대,lose
101,현대,lose
102,SK,win
103,SK,lose
104,롯데,win
105,롯데,win
106,한화,win
107,한화,win
108,KIA,win
109,KIA,win
110,두산,win
111,두산,win
112,현대,lose
113,현대,win
114,LG,win
115,SK,win
116,SK,win
117,SK,lose
118,두산,win
119,두산,lose
120,한화,win
121,한화,win
122,한화,win
123,KIA,win
124,KIA,win
125,SK,win
126,SK,lose
127,롯데,lose
128,롯데,lose
129,현대,win
130,현대,lose
131,두산,win
132,두산,lose
133,LG,win
134,LG,win
135,LG,lose
136,LG,lose
137,KIA,win
138,KIA,win
139,KIA,win
140,KIA,lose
141,SK,win
142,SK,lose
143,SK,lose
144,롯데,lose
145,롯데,lose
146,롯데,win
147,한화,lose
148,한화,lose
149,롯데,win
150,LG,lose
151,LG,lose
152,LG,win
153,한화,lose
154,두산,win
155,한화,win
156,한화,win
157,롯데,lose
158,롯데,win
159,SK,win
160,SK,win
161,SK,lose
162,LG,win
163,LG,win
164,LG,win
165,두산,lose
